district_key,area_sqkm,population_2017,male,female,sex_ratio,pop_density_per_sqkm,urban_pct,avg_household_size,pop_growth_rate_pct,population_under5,literacy_rate_pct,mean_persons_per_room,improved_water_pct,improved_sanitation_pct
NOWSHERA DISTRICT,1748,1520995,783035,737834,106.13,870.13,22.32,7.52,2.95,220079.0,58.21446938633679,3.108496125840934,76.94421839733452,57.522250712688155
PESHAWAR DISTRICT,1257,4267198,2198005,2068568,106.26,3394.75,46.16,8.37,3.99,640771.0,55.03745552511623,2.843058889348767,82.64850851493517,57.00760269324697
BUNER DISTRICT,1865,895460,445872,449555,99.18,480.14,0.0,9.36,3.04,139603.0,46.840375215735875,,50.423701473276694,32.47983654156361
CHITRAL DISTRICT,14850,447625,225669,221934,101.68,30.14,11.12,7.23,1.8,60424.0,64.66984692491168,2.4082694194355083,59.57492239212917,63.07343593449731
SHANGLA DISTRICT,1586,759609,386082,373508,103.37,478.95,0.0,8.44,2.98,135718.0,33.13071404840714,3.1358289433182516,58.85773765075917,23.507116511664744
SWAT DISTRICT,5337,2308624,1171947,1136544,103.11,432.57,30.14,8.37,3.24,350845.0,50.27133149581123,2.886329409451923,53.828042542826985,35.38014717279149
LOWER DIR DISTRICT,1583,1436082,709829,726203,97.75,907.19,2.81,9.17,3.27,239244.0,57.28904454988397,2.689418612140151,52.493692615808776,34.2055296902229
UPPER DIR DISTRICT,3699,947401,466594,480766,97.05,256.12,4.65,7.86,3.26,179229.0,46.094080062479904,3.11792766790038,54.18174490558434,34.00223339854409
MALAKAND PROTECTED AREA DISTRICT,952,717806,360440,357333,100.87,754.0,9.43,7.85,2.46,109216.0,61.83063311224141,2.6838208531392236,57.6879201692306,42.08503616085767
KHYBER AGENCY DISTRICT,2576,984246,504502,479669,105.18,382.08,9.9,8.49,3.14,181263.0,41.970512550569545,3.2074703735199193,35.770487400975696,16.673678557042475
KURRAM AGENCY DISTRICT,3380,615372,306935,308393,99.53,182.06,6.18,8.81,1.68,106814.0,40.4280841823043,2.4975582350927086,40.57482744741432,37.155081170525186
MOHMAND AGENCY DISTRICT,2296,474345,241549,232755,103.78,206.6,0.0,9.37,1.85,78675.0,30.387577366877284,3.034324649523398,27.016847561963388,16.163129758626276
NORTH WAZIRISTAN AGENCY DISTRICT,4707,540546,277749,262764,105.7,114.84,0.81,8.46,2.14,99291.0,36.60836270031605,2.813577480697895,29.358016304347824,15.95618206521739
ORAKZAI AGENCY DISTRICT,1538,254303,127564,126728,100.66,165.35,0.0,8.0,0.63,46793.0,37.42829739178862,2.3352194281396894,21.701895628187447,19.453443243416622
SOUTH WAZIRISTAN A DISTRICT,6620,675215,355611,319554,111.28,102.0,0.0,7.98,2.4,,,,,
BAJAUR AGENCY DISTRICT,1290,1090987,556036,534895,103.95,845.73,0.0,8.86,3.23,200587.0,29.927723063979233,3.009405738885642,31.105385761439496,24.621564447224806
FR BANNU DISTRICT,745,43112,22286,20826,107.01,57.87,0.0,9.74,4.23,7651.0,18.690726595077308,2.529971692669912,9.734081483288607,11.905342766528422
FR D.I.KHAN DISTRICT,2008,68506,35356,33146,106.67,34.12,0.0,9.56,3.01,13839.0,20.939221180790415,,11.438627364716234,8.06569878281273
FR KOHAT DISTRICT,446,118839,59983,58851,101.92,266.46,0.0,8.09,1.56,17454.0,52.65517323604454,3.0537330420812183,44.36669493921402,45.66016398077467
