district_key,province,population_2017,population_under5,deprivation_index,mortality_estimate_per1000,mortality_lower95,mortality_upper95,estimate_type,estimate_source
SHAHEED BENAZIRABAD DISTRICT,Sindh,1613506,243816.0,0.6511962643168935,88.19448345402584,57.3264142451168,119.06255266293488,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
AWARAN DISTRICT,Balochistan,121821,19857.0,0.7626663746821003,105.10714370386229,68.31964340751048,141.8946440002141,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KALAT DISTRICT,Balochistan,412058,84152.0,0.8286132227504974,99.3489197000327,64.57679780502126,134.12104159504412,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KHARAN DISTRICT,Balochistan,162766,30095.0,0.7767000330614364,99.88792340702979,64.92715021456937,134.8486965994902,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KHUZDAR DISTRICT,Balochistan,798896,157774.0,0.791191773604351,96.05654677328546,62.436755402635555,129.67633814393537,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
LASBELA DISTRICT,Balochistan,576271,89608.0,0.7763087952122173,98.94621866722223,64.31504213369445,133.57739520075,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
MASTUNG DISTRICT,Balochistan,265676,46832.0,0.6817269340157406,98.92628071635582,64.30208246563129,133.55047896708035,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
WASHUK DISTRICT,Balochistan,175712,36904.0,0.7653081725214412,88.57081177692211,57.57102765499938,119.57059589884486,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
GWADAR DISTRICT,Balochistan,262253,34698.0,0.6818843341485576,96.17964516904681,62.51676935988043,129.8425209782132,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KECH DISTRICT,Balochistan,907182,115787.0,0.581748752522621,86.33064205058986,56.11491733288341,116.54636676829631,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
PANJGUR DISTRICT,Balochistan,315353,62335.0,0.6173433082125751,83.69935748963827,54.40458236826488,112.99413261101166,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
JAFFARABAD DISTRICT,Balochistan,513972,93998.0,0.6014286241943523,76.55363563698604,49.75986316404093,103.34740810993117,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
JHAL MAGSI DISTRICT,Balochistan,148900,28548.0,0.8398973683034562,107.14715294855567,69.64564941656118,144.64865648055016,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KACHHI DISTRICT,Balochistan,309932,52850.0,0.7900454458842978,98.81870846883903,64.23216050474537,133.4052564329327,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
NASIRABAD DISTRICT,Balochistan,487847,95524.0,0.8027754783580074,105.0835098879502,68.30428142716764,141.86273834873276,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
SOHBATPUR DISTRICT,Balochistan,200426,40050.0,0.8452962605337987,107.26417272523987,69.72171227140592,144.80663317907383,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
CHAGAI DISTRICT,Balochistan,226517,177050.5,0.7079023988236578,106.32919635130072,69.11397762834548,143.54441507425597,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KILLA ABDULLAH DISTRICT,Balochistan,758354,146256.0,0.6711482316073784,90.68537741011818,58.94549531657682,122.42525950365953,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
NUSHKI DISTRICT,Balochistan,178947,29647.0,0.5205936150015102,72.55607031560727,47.16144570514473,97.95069492606981,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
PISHIN DISTRICT,Balochistan,736903,137385.0,0.6474496805290284,91.51769315297794,59.48650054943566,123.54888575652022,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
QUETTA DISTRICT,Balochistan,2269473,363210.0,0.5229157843117948,81.20921510781814,52.785989820081795,109.63244039555448,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
DERA BUGTI DISTRICT,Balochistan,313110,74868.0,0.7757735224293676,110.4486209084388,71.79160359048522,149.1056382263924,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
HARNAI DISTRICT,Balochistan,97052,16221.0,0.7055025619082966,100.91187022473193,65.59271564607576,136.2310248033881,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
