district_key,u5mr_posterior_mean,u5mr_ci_lower95,u5mr_ci_upper95,u5mr_posterior_sd,province,had_direct_data,n_births_direct,ci_width,run_mode,model_version
TOBA TEK SINGH DISTRICT,109.56100994237205,64.21867085749882,165.27738346524524,25.89152143711536,Punjab,True,403,101.05871260774641,normal,hazard_v1_censoring_corrected
SAHIWAL DISTRICT,116.30443351480413,75.04203061089864,166.4094289577345,23.386549520112034,Punjab,True,446,91.36739834683586,normal,hazard_v1_censoring_corrected
OKARA DISTRICT,29.577730088761726,10.199018774570451,60.662540236161995,12.857663887831169,Punjab,True,306,50.46352146159154,normal,hazard_v1_censoring_corrected
PAKPATTAN DISTRICT,67.41903460949277,22.956652905697762,138.75834717884723,30.572385219147613,Punjab,True,246,115.80169427314947,normal,hazard_v1_censoring_corrected
BAHAWALNAGAR DISTRICT,64.75115895988964,25.132821475079677,126.25922388418071,25.68349455382104,Punjab,True,388,101.12640240910103,normal,hazard_v1_censoring_corrected
BAHAWALPUR DISTRICT,107.32708093724266,70.39409947845657,151.79947431141812,20.9788722786191,Punjab,True,641,81.40537483296156,normal,hazard_v1_censoring_corrected
RAHIM YAR KHAN DISTRICT,113.47696629199467,80.39464273781755,153.31483478584647,18.43598078600019,Punjab,True,823,72.92019204802892,normal,hazard_v1_censoring_corrected
DERA GHAZI KHAN DISTRICT,73.29812777644949,38.22044196552152,118.75178871926389,20.759955024158717,Punjab,True,336,80.53134675374235,normal,hazard_v1_censoring_corrected
RAJANPUR DISTRICT,73.46245028038327,23.470699167520824,154.5872220625054,33.544354745260854,Punjab,True,168,131.11652289498457,normal,hazard_v1_censoring_corrected
LAYYAH DISTRICT,85.84067391453816,40.981939125069076,147.15721621265718,27.247677280501595,Punjab,True,373,106.1752770875881,normal,hazard_v1_censoring_corrected
MUZAFFARGARH DISTRICT,67.25205387066264,37.60527341079662,106.85394724610744,17.62988337231742,Punjab,True,477,69.24867383531083,normal,hazard_v1_censoring_corrected
MULTAN DISTRICT,58.132281243178255,30.590061551296923,93.57960764257204,16.36311940630547,Punjab,True,655,62.989546091275116,normal,hazard_v1_censoring_corrected
KHANEWAL DISTRICT,101.70555430883155,61.62565546511482,150.68997633694642,22.73327973669877,Punjab,True,422,89.0643208718316,normal,hazard_v1_censoring_corrected
LODHRAN DISTRICT,32.99554907859789,8.590638628518207,77.39261847780514,18.02492219530402,Punjab,True,198,68.80197984928694,normal,hazard_v1_censoring_corrected
VEHARI DISTRICT,98.24471242479137,54.50335327530061,155.7034633851568,26.244971620771828,Punjab,True,339,101.20011010985618,normal,hazard_v1_censoring_corrected
JACOBABAD DISTRICT,85.88197548586159,32.370840826576156,169.1684964736303,35.82540383847357,Sindh,True,315,136.79765564705417,normal,hazard_v1_censoring_corrected
KASHMORE DISTRICT,64.26165589443576,29.27528072769702,114.50137300190593,22.17362904794825,Sindh,True,497,85.22609227420891,normal,hazard_v1_censoring_corrected
KAMBAR SHAHDAD KOT DISTRICT,66.65100918454083,29.166344411964587,121.58700898787876,24.09777790495184,Sindh,True,551,92.42066457591417,normal,hazard_v1_censoring_corrected
LARKANA DISTRICT,27.14307988881888,7.014670881218943,63.7077280477353,15.088329777877032,Sindh,True,508,56.69305716651636,normal,hazard_v1_censoring_corrected
SHIKARPUR DISTRICT,48.24783038624695,11.746883401539609,123.97235993457217,29.326116427961665,Sindh,True,150,112.22547653303256,normal,hazard_v1_censoring_corrected
GHOTKI DISTRICT,114.58001747593097,64.37682644938599,178.47232140949313,29.616369995626066,Sindh,True,476,114.09549496010715,normal,hazard_v1_censoring_corrected
KHAIRPUR DISTRICT,82.65646709308778,44.49490885007384,131.95000037396952,22.831495555135824,Sindh,True,818,87.45509152389567,normal,hazard_v1_censoring_corrected
SUKKUR DISTRICT,66.10487631587146,30.56272356323976,118.52758293035139,22.661153690697873,Sindh,True,343,87.96485936711163,normal,hazard_v1_censoring_corrected
BADIN DISTRICT,115.44866715603594,69.83950340833458,171.7084270889725,26.031012377171496,Sindh,True,460,101.86892368063793,normal,hazard_v1_censoring_corrected
DADU DISTRICT,29.42765489231589,8.32080735259025,65.55389587708672,15.031528711812353,Sindh,True,334,57.233088524496466,normal,hazard_v1_censoring_corrected
HYDERABAD DISTRICT,39.362514412964856,10.4372009116137,93.93432076701315,21.717472241219287,Sindh,True,350,83.49711985539945,normal,hazard_v1_censoring_corrected
JAMSHORO DISTRICT,32.015224529974674,8.424312055196264,76.51215940769512,18.163532373322727,Sindh,True,204,68.08784735249886,normal,hazard_v1_censoring_corrected
MATIARI DISTRICT,41.42257963896069,10.557203677601297,103.58237527198659,23.74028192671249,Sindh,True,142,93.0251715943853,normal,hazard_v1_censoring_corrected
SUJAWAL DISTRICT,33.808901495488165,6.882845907962623,91.99977492437608,22.75170676850247,Sindh,True,468,85.11692901641347,normal,hazard_v1_censoring_corrected
TANDO ALLAHYAR DISTRICT,34.919541237651515,7.266350074546918,95.31695501806819,23.663899208530218,Sindh,True,212,88.05060494352126,normal,hazard_v1_censoring_corrected
TANDO MUHAMMAD KHAN DISTRICT,42.609410226076804,10.080257860910136,108.74280065587362,25.576243626294136,Sindh,True,200,98.66254279496349,normal,hazard_v1_censoring_corrected
THATTA DISTRICT,35.52998577426209,9.295972093316971,85.50813541752181,19.776111701698817,Sindh,True,420,76.21216332420484,normal,hazard_v1_censoring_corrected
KARACHI CENTRAL DISTRICT,22.045052476651186,6.110789209999931,51.233539037685375,11.75965405578095,Sindh,True,723,45.122749827685446,normal,hazard_v1_censoring_corrected
KARACHI EAST DISTRICT,30.2679316347362,6.6012000009622875,77.68607206306955,19.044327805131747,Sindh,True,312,71.08487206210725,normal,hazard_v1_censoring_corrected
KARACHI SOUTH DISTRICT,67.12446723079623,32.17410572379872,116.63065803373645,21.720327773678314,Sindh,True,587,84.45655230993773,normal,hazard_v1_censoring_corrected
KARACHI WEST DISTRICT,38.62033664659272,17.090679402311515,68.97700401888194,13.42490335672634,Sindh,True,1149,51.88632461657043,normal,hazard_v1_censoring_corrected
KORANGI DISTRICT,14.106357201288473,3.5702017963606476,33.923133068784566,7.888919295502378,Sindh,True,519,30.352931272423916,normal,hazard_v1_censoring_corrected
MALIR DISTRICT,30.16592313640856,10.38943648711014,62.09036584063064,13.470458924294473,Sindh,True,833,51.7009293535205,normal,hazard_v1_censoring_corrected
MIRPUR KHAS DISTRICT,51.012551251212656,16.89120308150175,107.02030497517227,23.695307913718523,Sindh,True,252,90.12910189367051,normal,hazard_v1_censoring_corrected
THARPARKAR DISTRICT,34.95351250888215,10.785509754076312,77.06943259700002,17.110547721061533,Sindh,True,370,66.2839228429237,normal,hazard_v1_censoring_corrected
UMER KOT DISTRICT,30.06338213075996,6.660665704905461,76.44998599500158,18.322302864974947,Sindh,True,245,69.78932029009613,normal,hazard_v1_censoring_corrected
SANGHAR DISTRICT,22.354919676715653,5.09601885239587,54.21083663050721,12.988963894140763,Sindh,True,398,49.11481777811134,normal,hazard_v1_censoring_corrected
NAUSHAHRO FEROZE DISTRICT,38.02673311796857,14.474371959394102,74.93916948228467,15.621619167867063,Sindh,True,469,60.464797522890564,normal,hazard_v1_censoring_corrected
SHAHEED BENAZIRABAD DISTRICT,99.44925161614232,55.340603622820346,157.83643097117567,26.564410981191898,Sindh,True,452,102.49582734835533,normal,hazard_v1_censoring_corrected
AWARAN DISTRICT,45.76369299629501,7.413532962170363,150.01539560228247,37.18961801402952,Balochistan,True,132,142.6018626401121,normal,hazard_v1_censoring_corrected
